"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"2073","41 35",0.392670157068063,0.448717948717949,382,390,13627.583276064,15334.5093897049,53128,0,0.934145652956051,0.000425224578437932,468
"2074","41 36",0.414634146341463,0.46070460704607,369,369,13417.1508795463,15162.2638526654,59646,0,0.937856192042301,0.00105333442548809,466
"2075","41 37",0.400862068965517,0.411637931034483,464,464,14889.0279890963,16621.0847361297,48154,0,0.95839481210493,0.00140773800382699,535
"2076","41 38",0.338753387533875,0.356294536817102,369,421,15127.0388673403,16865.3029743403,2920,3046,0.831299034545256,0.0162435334676442,431
"2077","41 39",0.407925407925408,0.469565217391304,429,460,16097.6002279454,17826.853789939,19189,0,0.977604659068013,0,489
"2078","41 40",0.426791277258567,0.455696202531646,321,316,16888.9246296918,18602.3562434831,32998,0,0.977745949915985,0,324
"2079","41 41",0.400468384074941,0.498834498834499,427,429,14416.0203448399,16159.7323998252,61998,0,0.912673899685087,0.000196881037644221,450
"2080","41 42",0.406947890818859,0.468834688346883,403,369,16402.1722564129,18127.6442815558,20437,0,0.978014279475933,0.000942066094084185,304
"2081","41 43",0.349112426035503,0.410029498525074,338,339,12611.3668922815,14342.0713071354,36650,0,0.916487233816594,0.000584083166402642,419
"2082","41 44",0.352112676056338,0.426865671641791,355,335,13995.0912720032,15737.5479261327,52411,0,0.912794451804581,0.000130965319725557,350
"2083","41 45",0.277929155313351,0.348525469168901,367,373,13117.5755031351,14860.9634764527,58590,0,0.90003201215002,0.000671849808530944,444
"2084","41 46",0.399425287356322,0.4,348,355,13242.4073993164,14976.195254001,82136,0,0.931075011045166,0,400
"2085","41 47",0.525606469002695,0.553475935828877,371,374,13955.0749144822,15214.948592107,62338,0,0.972223160268903,0,363
"2086","41 48",0.316831683168317,0.365650969529086,404,361,14773.0491362107,16513.8142527381,3032,3163,0.820229109717886,0.0435572961035478,256
"2087","41 49",0.423312883435583,0.526143790849673,326,306,16519.8325471332,18235.0555070612,46930,0,0.965438163517313,0.00250611986229005,338
"2088","41 50",0.350490196078431,0.404699738903394,408,383,12758.2659141521,14495.2268568927,40660,0,0.887841566366526,0.000284678344840499,585
"2089","41 51",0.384090909090909,0.475409836065574,440,244,14404.5043105877,16111.4335061054,21759,0,0.947203055080303,5.2624941496919e-05,266
"2090","41 52",0.410764872521246,0.464467005076142,353,394,13007.9708901632,14730.6861220872,108783,2021,0.929889903619021,0.00124794612167804,473
"2091","41 53",0.50199203187251,0.485042735042735,502,468,15046.0650505765,16784.7456374184,61250,0,0.953319413666541,0.00103686341206198,511
"2092","41 54",0.487341772151899,0.464285714285714,316,336,14524.0117562121,15718.4404434512,29710,0,0.963035632750416,0.00190829554927185,399
"2093","41 55",0.391100702576112,0.498806682577566,427,419,14360.2854505788,16105.9555872028,65137,0,0.935015018805036,0.000240003388308587,364
